molecule,odor
COC1=CC=C(C=C1)C=O,"SubString{String}[""sweet"", ""floral"", ""powdery"", ""mimosa"", ""hawthorn"", ""balsam"", ""hay"", ""vanilla"", ""fruity"", ""herbal"", ""anisic""]"
CCCC(C)C=O,"SubString{String}[""vegetable"", ""fruity"", ""green"", ""ethereal"", ""cocoa"", ""cheesy""]"
CCCC(=O)CCC,"SubString{String}[""sweet"", ""cognac"", ""fruity"", ""pineapple"", ""tutti"", ""frutti"", ""cheesy"", ""green"", ""pungent""]"
CCOC(=O)CCC(=O)OCC,"SubString{String}[""fruity"", ""apple"", ""cooked"", ""ylang"", ""green"", ""grape"", ""winey"", ""ethereal""]"
CCCCCCCCC(=O)OCC,"SubString{String}[""natural"", ""wine"", ""rose"", ""fruity"", ""tropical"", ""waxy"", ""rum"", ""oily"", ""fatty"", ""nutty"", ""grape"", ""cognac""]"
CC1=CN=C(C=N1)C,"SubString{String}[""musty"", ""medicinal"", ""cocoa"", ""nutty"", ""grassy"", ""peanut"", ""powdery"", ""beefy"", ""roasted"", ""woody"", ""earthy"", ""chocolate""]"
CCC=O,"SubString{String}[""meaty"", ""cocoa"", ""pungent"", ""nutty"", ""winey"", ""cognac"", ""grape"", ""whiskey"", ""ethereal"", ""earthy"", ""alcoholic"", ""brandy"", ""green""]"
CC(C)CCO,"SubString{String}[""fermented"", ""molasses"", ""banana"", ""pungent"", ""cognac"", ""fruity"", ""whiskey"", ""fusel"", ""ethereal"", ""alcoholic""]"
CC1OC(OC(O1)C)C,"SubString{String}[""sweet"", ""aromatic"", ""fruity"", ""musty"", ""rum""]"
CCCCCC(=O)OCC,"SubString{String}[""sweet"", ""estery"", ""fatty"", ""banana"", ""fruity"", ""pineapple"", ""green"", ""waxy"", ""pear"", ""tropical"", ""strawberry""]"
CCCCCC(=O)OCC=C,"SubString{String}[""sweet"", ""juicy"", ""rummy"", ""estery"", ""fatty"", ""cognac"", ""fruity"", ""pineapple"", ""ethereal"", ""arrack"", ""tropical"", ""winey""]"
C1CCCCOC(=O)CCCCC/C=C\CCC1,"SubString{String}[""musty"", ""ambrette"", ""animal"", ""musk""]"
CCCC=O,"SubString{String}[""malty"", ""musty"", ""cocoa"", ""bready"", ""green"", ""pungent"", ""chocolate"", ""fruity""]"
CC(=O)CCC(=O)O,"SubString{String}[""sweet"", ""vanilla"", ""caramellic"", ""acidic"", ""guaiacol"", ""creamy"", ""buttery""]"
CCCCOC(=O)C,"SubString{String}[""solvent"", ""banana"", ""fruity"", ""ethereal"", ""sharp"", ""pear"", ""pineapple"", ""sweet""]"
CC(C)CCOC(=O)C,"SubString{String}[""sweet"", ""solvent"", ""estery"", ""ripe"", ""banana"", ""fruity"", ""pear""]"
CCCCCCCCCCCCCCCCCC(=O)OCCCC,"SubString{String}[""oily"", ""fatty"", ""odorless"", ""fruity""]"
CCCCCCC(C)O,"SubString{String}[""spicy"", ""herbal"", ""fresh"", ""green"", ""woody"", ""earthy"", ""musty"", ""leafy"", ""floral""]"
C(CCC(=O)O)CC(=O)O,"SubString{String}[""odorless""]"
CCCCCCCCCCCCCC(=O)OCC,"SubString{String}[""sweet"", ""orris"", ""violet"", ""waxy"", ""fatty""]"
CCCCCCCC(=O)O,"SubString{String}[""vegetable"", ""rancid"", ""fatty"", ""oily"", ""cheesy"", ""waxy"", ""animal""]"
CCCCCCCCCCCCCC(=O)OC,"SubString{String}[""petal"", ""fatty"", ""waxy"", ""oily"", ""cognac"", ""orris""]"
CCCCCCCC=O,"SubString{String}[""aldehydic"", ""fatty"", ""herbal"", ""orange"", ""peel"", ""peely"", ""fresh"", ""green"", ""citrus"", ""waxy"", ""fruity""]"
CCCCCCCCC=O,"SubString{String}[""aldehydic"", ""fatty"", ""rose"", ""cucumber"", ""orange"", ""peel"", ""peely"", ""fresh"", ""green"", ""lemon"", ""orris"", ""citrus"", ""waxy"", ""floral""]"
CCCCCCCCCCCCCC=O,"SubString{String}[""dry"", ""fatty"", ""fruity"", ""pear"", ""amber"", ""creamy"", ""citrus"", ""peel"", ""fishy"", ""incense"", ""dairy"", ""musk"", ""waxy""]"
C[C@@]12CC[C@H](C1(C)C)C[C@H]2O,"SubString{String}[""camphoreous"", ""herbal"", ""woody"", ""balsamic"", ""pine""]"
CCCCC[C@@H](C)CCC(=O)O,"SubString{String}[""sweaty"", ""fatty"", ""milky"", ""dairy""]"
CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C,"SubString{String}[""plum"", ""ylang"", ""floral"", ""herbal"", ""grape"", ""tuberose"", ""bergamot"", ""lily"", ""tropical"", ""genet"", ""citrus"", ""fruity""]"
CC(=O)C(=O)O,"SubString{String}[""sour"", ""caramellic"", ""acetic"", ""acidic"", ""sharp"", ""burnt""]"
CC1=CCCC(C1/C=C/C(=O)C)(C)C,"SubString{String}[""sweet"", ""floral"", ""fruity"", ""violet"", ""woody"", ""tropical"", ""orris"", ""balsamic""]"
CCC(=O)/C=C/C1C(=CCCC1(C)C)C,"SubString{String}[""sweet"", ""tea"", ""floral"", ""fruity"", ""violet"", ""powdery"", ""woody"", ""orris"", ""oily""]"
CC1(C2CCC(=C)C1C2)C,"SubString{String}[""dry"", ""resinous"", ""spicy"", ""nutmeg"", ""peppery"", ""herbal"", ""eucalyptus"", ""terpenic"", ""camphoreous"", ""cooling"", ""fresh"", ""green"", ""woody"", ""minty"", ""hay"", ""pine""]"
CCC(C)CCCCCCC=O,"SubString{String}[""sweet"", ""aldehydic"", ""rose"", ""citrus"", ""green"", ""fresh"", ""cucumber""]"
CC1(C2CC=C(C1C2)CCO)C,"SubString{String}[""sweet"", ""herbal"", ""balsamic"", ""pine"", ""citrus"", ""woody"", ""camphoreous""]"
CC(=O)OCCC1=CCC2CC1C2(C)C,"SubString{String}[""herbal"", ""lavender"", ""bergamot"", ""woody"", ""pine"", ""fruity"", ""floral"", ""sweet""]"
CCCC[C@@H](C)CCC(=O)O,"SubString{String}[""goaty"", ""meaty"", ""mutton"", ""fatty"", ""musty"", ""cheesy""]"
CC(C)CCOC(C)OCCC(C)C,"SubString{String}[""fermented"", ""fruity"", ""green"", ""ethereal"", ""alcoholic"", ""vegetable""]"
CCCCC(=O)C(C)C,"SubString{String}[""leafy"", ""fruity"", ""green"", ""dairy"", ""herbal"", ""cheesy""]"
C=CCCCCCCCCO,"SubString{String}[""aldehydic"", ""clean"", ""rose"", ""fresh"", ""dewy"", ""waxy""]"
CCCCC/C=C\CCOC(=O)C,"SubString{String}[""fleshy"", ""herbal"", ""fruity"", ""pear"", ""green"", ""tropical"", ""citrus"", ""fatty"", ""melon"", ""fresh"", ""waxy""]"
CCCCC(OCCCC)OCCCC,"SubString{String}[""sweet"", ""nutty"", ""green"", ""fermented"", ""alcoholic""]"
CCOCC1=CC(=C(C=C1)O)OC,"SubString{String}[""sweet"", ""vanilla"", ""rummy"", ""spicy"", ""nutmeg"", ""smoky"", ""creamy"", ""alcoholic"", ""chocolate"", ""phenolic""]"
C1=CC=C(C=C1)/C=C(/C(CO)O)\O,"SubString{String}[""sweet"", ""cherry"", ""musty"", ""fruity"", ""almond"", ""bitter""]"
CC(C)CCCC(C)(C)O,"SubString{String}[""floral"", ""herbal"", ""fresh"", ""bois"", ""de"", ""rose"", ""woody"", ""citrus""]"
CC1=CCC(C=C1)C(C)C,"SubString{String}[""minty"", ""herbal"", ""terpenic"", ""pepper"", ""black"", ""green"", ""woody"", ""citrus"", ""spicy"", ""fresh"", ""mint""]"
C(C(C(=O)O)O)(C(=O)O)O,"SubString{String}[""caramellic"", ""mild"", ""odorless""]"
CCOC(=O)CCSC,"SubString{String}[""metallic"", ""sulfurous"", ""ripe"", ""pulpy"", ""fruity"", ""pineapple"", ""tomato"", ""caramellic""]"
CC1=CC(=CC=C1)C=O,"SubString{String}[""sweet"", ""fruity"", ""powdery"", ""coumarinic"", ""cherry"", ""chemical"", ""almond"", ""bitter"", ""phenolic""]"
CCCCCOC(=O)C1=CC=CO1,"SubString{String}[""herbal"", ""fruity"", ""oily"", ""anisic"", ""fennel"", ""caramellic"", ""winey"", ""fermented"", ""sweet""]"
CC1CCC2=C(C(=O)OC2C1)C,"SubString{String}[""sweet"", ""spearmint"", ""coconut"", ""powdery"", ""creamy"", ""tobacco"", ""coumarinic"", ""tonka""]"
CCC1=NC=C(N=C1)C,"SubString{String}[""nutty"", ""grassy"", ""coffee"", ""roasted"", ""beany"", ""green"", ""cocoa""]"
CCC1=NC(=CN=C1C)C,"SubString{String}[""cocoa"", ""potato"", ""nutty"", ""roasted"", ""burnt"", ""almond"", ""chocolate""]"
CCCCCCCCCCCCCCCCCC(=O)OCC([C@@H]1[C@H]([C@@H](CO1)O)O)O,"SubString{String}[""bland"", ""oily"", ""waxy""]"
COC(=O)C1=CC=CC=C1N,"SubString{String}[""musty"", ""grape"", ""floral"", ""fruity"", ""powdery"", ""neroli"", ""orangeflower""]"
COC1=CC(=CC(=C1O)OC)C=O,"SubString{String}[""plastic"", ""green"", ""woody"", ""chocolate"", ""tonka"", ""smoky"", ""vanilla"", ""balsamic"", ""floral"", ""sweet""]"
CCC/C=C/C(=O)O,"SubString{String}[""sweet"", ""herbal"", ""fruity"", ""warm"", ""fatty"", ""cheesy""]"
CC1=CCC2C(C1)C2(C)C,"SubString{String}[""solvent"", ""resinous"", ""medicinal"", ""cypress"", ""herbal"", ""terpenic"", ""phenolic"", ""woody"", ""pine"", ""citrus"", ""fresh"", ""sweet""]"
CC(C)(C)C1CCCCC1O,"SubString{String}[""earthy"", ""herbal"", ""camphoreous"", ""phenolic"", ""patchouli"", ""woody"", ""minty"", ""pine"", ""mint""]"
C1=COC(=C1)COC=O,"SubString{String}[""ethereal"", ""nutty"", ""coffee"", ""bread""]"
CC1CC(C(=O)C1=O)C,"SubString{String}[""sweet"", ""molasses"", ""sugar"", ""burnt"", ""caramellic"", ""nutty"", ""maple"", ""whiskey"", ""coffee"", ""brown"", ""toffee""]"
COC1=CC=CC=C1C=O,"SubString{String}[""sweet"", ""vanilla"", ""guaiacol"", ""powdery"", ""anisic"", ""hawthorn"", ""almond"", ""spicy"", ""cinnamon""]"
CCOC(C1=CC=CO1)OCC,"SubString{String}[""earthy"", ""fruity"", ""mushroom"", ""burnt"", ""bread"", ""aromatic""]"
COC(=O)CCSC,"SubString{String}[""sweet"", ""vegetable"", ""sulfurous"", ""garlic"", ""horseradish"", ""rooty"", ""onion"", ""tomato"", ""pungent"", ""radish"", ""green"", ""fruity"", ""tropical"", ""cabbage""]"
CCCCC/C=C\C/C=C\C=C\C=O,"SubString{String}[""fatty"", ""fruity"", ""oily"", ""citrus"", ""peel"", ""waxy"", ""fishy"", ""metallic"", ""fresh""]"
CCCCOC(=O)C1=CC=CC=C1,"SubString{String}[""amber"", ""fruity"", ""balsamic"", ""woody"", ""spicy""]"
CC1=C(SC(=N1)C)C,"SubString{String}[""musty"", ""vegetable"", ""cocoa"", ""nutty"", ""coffee"", ""brown"", ""toasted"", ""hazelnut"", ""chocolate"", ""herbal""]"
CC1(CCC(O1)C(C)(C)O)C=C,"SubString{String}[""floral"", ""herbal"", ""earthy"", ""green"", ""musty"", ""camphoreous"", ""balsamic"", ""pine"", ""creamy"", ""leafy"", ""sweet""]"
CCC(=O)CSC,"SubString{String}[""mustard"", ""metallic"", ""vegetable"", ""mushroom"", ""garlic"", ""horseradish"", ""savory"", ""alliaceous"", ""oily"", ""wasabi"", ""onion"", ""fishy"", ""fresh"", ""radish""]"
CC1=CC=C(O1)SC,"SubString{String}[""mustard"", ""sulfurous"", ""garlic"", ""horseradish"", ""peppery"", ""coffee"", ""onion"", ""pungent"", ""burnt""]"
CC(C)CC(=O)OCC1=CC=CO1,"SubString{String}[""plum"", ""ripe"", ""grape"", ""berry"", ""fruity""]"
C1=COC(=C1)CSCC2=CC=CO2,"SubString{String}[""meaty"", ""sulfurous"", ""mushroom"", ""cocoa"", ""nutty"", ""coffee"", ""fungal"", ""earthy"", ""roasted"", ""savory"", ""burnt""]"
CC(=O)SCC1=CC=CO1,"SubString{String}[""vegetable"", ""sulfurous"", ""nutty"", ""savory"", ""alliaceous"", ""coffee"", ""burnt"", ""roasted"", ""garlic""]"
COCC1=CC=CO1,"SubString{String}[""coffee"", ""roasted""]"
CSC(=O)C1=CC=CO1,"SubString{String}[""fried"", ""alliaceous"", ""creamy"", ""onion"", ""cooked"", ""milky"", ""cabbage"", ""dairy"", ""cheesy""]"
CC1=CC=C(S1)C=O,"SubString{String}[""sweet"", ""almond"", ""bitter"", ""fruity"", ""bready"", ""cherry"", ""woody""]"
CC1=C(SC=C1)C(=O)C,"SubString{String}[""floral"", ""cananga"", ""phenolic"", ""almond"", ""wintergreen"", ""honey"", ""nutty"", ""sweet""]"
CC1=CC=C(S1)C(=O)C,"SubString{String}[""sweet"", ""spicy"", ""caramellic"", ""honey"", ""acacia"", ""hawthorn"", ""almond"", ""hyacinth"", ""graham"", ""cracker"", ""vanilla"", ""nutty"", ""cherry"", ""coumarinic""]"
CC1C(=O)CCS1,"SubString{String}[""fruity"", ""sulfurous"", ""berry"", ""catty"", ""burnt"", ""black"", ""currant""]"
CC(=C)C1CCC(O1)(C)C=C,"SubString{String}[""spicy"", ""herbal"", ""terpenic"", ""cooling"", ""phenolic"", ""green"", ""minty"", ""rosemary"", ""pine"", ""fresh"", ""mint""]"
CCCC(CCOC(=O)C)S,"SubString{String}[""currant"", ""bud"", ""black"", ""blackberry"", ""floral"", ""fruity"", ""pear"", ""raspberry"", ""passion"", ""fruit"", ""tropical"", ""sulfurous"", ""grapefruit""]"
CCCC(CCOC(=O)CCC)S,"SubString{String}[""sulfurous"", ""fruit"", ""overripe"", ""fruity"", ""passion"", ""tropical"", ""ripe"", ""catty""]"
CCCCCC(=O)OCCC(CCC)S,"SubString{String}[""tropical"", ""fruity"", ""sulfurous"", ""passion"", ""fruit"", ""black"", ""currant"", ""grapefruit""]"
CC1=C(SC=N1)CCO,"SubString{String}[""yeasty"", ""meaty"", ""sulfurous"", ""fatty"", ""nutty"", ""oily"", ""brothy"", ""bready"", ""beef"", ""juice"", ""cooked"", ""beefy""]"
CC1=CC=CC=C1S,"SubString{String}[""musty"", ""naphthyl"", ""meaty"", ""rubbery"", ""sulfurous"", ""eggy"", ""garlic"", ""onion"", ""chemical"", ""roasted"", ""burnt"", ""brothy"", ""phenolic"", ""smoky""]"
CCC(C)CO,"SubString{String}[""greasy"", ""fatty"", ""cocoa"", ""winey"", ""whiskey"", ""fusel"", ""ethereal"", ""alcoholic"", ""leathery"", ""solvent"", ""fermented""]"
CC(C)CC(=O)C(=O)C,"SubString{String}[""sweet"", ""fruity"", ""creamy"", ""brown"", ""buttery"", ""sharp"", ""oily""]"
CC1=C2C(=CC=C1)N=CC=N2,"SubString{String}[""musty"", ""potato"", ""nutty"", ""corn"", ""chip"", ""coffee"", ""burnt"", ""toasted"", ""roasted"", ""hazelnut""]"
C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=C)CC3)C(C)C,"SubString{String}[""fruity"", ""citrus"", ""radish"", ""green"", ""herbal"", ""woody""]"
CCCCOC(=O)C(C)O,"SubString{String}[""vanilla"", ""earthy"", ""fruity"", ""winey"", ""melon"", ""rind"", ""kiwi"", ""apple"", ""dairy"", ""creamy"", ""green"", ""milky"", ""waxy"", ""soapy"", ""skin"", ""cheesy"", ""ketonic"", ""lactonic"", ""caramellic"", ""sweet"", ""buttery""]"
CC(C)C(=O)OCCC(C)CCCC(=C)C,"SubString{String}[""sweet"", ""natural"", ""rose"", ""red"", ""spicy"", ""floral"", ""fruity"", ""geranium"", ""tropical""]"
CC1=CCC(CC1)C(=C)C,"SubString{String}[""camphoreous"", ""herbal"", ""terpenic"", ""citrus"", ""resinous"", ""petroleum"", ""painty"", ""phenolic"", ""woody"", ""aromatic"", ""gasoline""]"
CC(=C)C1CCC(CC1)(C)O,"SubString{String}[""woody"", ""earthy"", ""pungent"", ""sour"", ""herbal"", ""sweet""]"
CC/C=C/CC(=O)OC,"SubString{String}[""sweet"", ""cortex"", ""floral"", ""honey"", ""fruity"", ""pineapple"", ""apple"", ""pear"", ""fresh"", ""green"", ""guava"", ""tropical"", ""hyacinth"", ""papaya"", ""sharp""]"
CCC/C=C/C(=O)OC,"SubString{String}[""fatty"", ""banana"", ""honey"", ""fruity"", ""green"", ""sharp"", ""musty""]"
C1CCC(CC1)OC(=O)/C=C/C2=CC=CC=C2,"SubString{String}[""almond"", ""bitter"", ""cherry"", ""maraschino"", ""fruity"", ""cinnamyl"", ""peach"", ""balsamic"", ""sweet""]"
CCC(=O)OCC(COC(=O)CC)OC(=O)CC,"SubString{String}[""chemical"", ""fruity"", ""fatty"", ""oily"", ""sour""]"
CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,"SubString{String}[""sweet"", ""floral"", ""honey"", ""rose"", ""herbal"", ""fresh"", ""waxy""]"
C1=CC(=C(C=C1C=O)O)O,"SubString{String}[""dry"", ""almond"", ""bitter"", ""medicinal"", ""burnt""]"
CCC1=NC=CN=C1,"SubString{String}[""musty"", ""fermented"", ""meaty"", ""cocoa"", ""nutty"", ""peanut"", ""butter"", ""coffee"", ""roasted"", ""woody"", ""buttery""]"
CCC1=NC(=CN=C1)C,"SubString{String}[""roasted"", ""potato"", ""hazelnut"", ""cocoa""]"
CC1=CN=C(C=N1)C(C)C,"SubString{String}[""nutty"", ""coffee"", ""green"", ""roasted"", ""earthy""]"
CC1=NC=CN=C1CC(C)C,"SubString{String}[""caramellic"", ""herbal"", ""green"", ""sugar"", ""earthy"", ""vegetable""]"
CCC1=NC=C(N=C1C)C,"SubString{String}[""musty"", ""caramellic"", ""cocoa"", ""nutty"", ""peanut"", ""coffee"", ""burnt"", ""almond"", ""roasted"", ""hazelnut"", ""chocolate""]"
CC1=CN=C(C=N1)C=C,"SubString{String}[""coffee""]"
CCC(C)N,"SubString{String}[""fishy"", ""ammonia"", ""ripe"", ""cheesy""]"
CC/C=C/C(=O)O,"SubString{String}[""rancid"", ""cheesy"", ""feta"", ""cheese"", ""sour"", ""acidic"", ""buttery"", ""fruity"", ""caramellic""]"
C1=CC=C(C=C1)/C=C/C(=O)O,"SubString{String}[""sweet"", ""balsamic"", ""storax""]"
CC(=O)OCC1=CC=CC=C1,"SubString{String}[""sweet"", ""floral"", ""fruity"", ""fresh"", ""jasmin"", ""jasmine""]"
CCCCCCCCCCCC(=O)OCC1=CC=CC=C1,"SubString{String}[""soapy"", ""fatty"", ""waxy""]"
CC(C)CC(=O)OCCC1=CC=CC=C1,"SubString{String}[""sweet"", ""blueberry"", ""ripe"", ""floral"", ""rose"", ""fruity"", ""pineapple"", ""apricot"", ""apple"", ""tutti"", ""frutti"", ""peach"", ""balsamic""]"
CC1=CC=C(C=C1)OC(=O)C,"SubString{String}[""floral"", ""animal"", ""phenolic"", ""narcissus""]"
COC1=CC=C(C=C1)CC=C,"SubString{String}[""sweet"", ""anise"", ""spicy"", ""herbal"", ""sassafrass"", ""anisic"", ""phenolic"", ""green"", ""minty"", ""fennel""]"
CCOC(=O)C=C,"SubString{String}[""plastic"", ""fruity"", ""acrylate"", ""rum"", ""sharp""]"
CC1(C(CCC(O1)(C)C=C)O)C,"SubString{String}[""floral"", ""honey"", ""earthy"", ""creamy"", ""fresh""]"
CC(C)COC(=O)CCCCC(=O)OCC(C)C,"SubString{String}[""estery"", ""mild"", ""odorless""]"
CCOC(=O)/C=C\C(=O)OCC,"SubString{String}[""banana"", ""fruity"", ""citrus"", ""apple"", ""winey""]"
CCCCC(=O)OCCC,"SubString{String}[""metallic"", ""animal"", ""fruity"", ""pineapple"", ""ethereal"", ""apple"", ""winey""]"
CC(CCCC(=C)C)CCOC=O,"SubString{String}[""dry"", ""leafy"", ""floral"", ""rose"", ""green"", ""geranium"", ""fruity"", ""fresh""]"
CC(=CCC/C(=C/C=C/C(=O)C)/C)C,"SubString{String}[""sweet"", ""dry"", ""spicy"", ""floral"", ""dusty"", ""powdery"", ""balsamic"", ""citrus"", ""waxy"", ""fruity"", ""berry"", ""orris"", ""tea"", ""woody""]"
CC(CCCC(=C)C)CCOC(=O)C,"SubString{String}[""rose"", ""red"", ""spicy"", ""leafy"", ""floral"", ""powdery"", ""geranium"", ""citrus"", ""fruity"", ""fresh""]"
CC(=CCC/C(=C\COC(=O)C)/C)C,"SubString{String}[""sweet"", ""floral"", ""rose"", ""grapefruit"", ""fruity"", ""pear"", ""dewy"", ""tropical"", ""soapy"", ""citrus""]"
CC(CCCC(C)C=O)CCC=C(C)C,"SubString{String}[""aldehydic"", ""lily"", ""of"", ""the"", ""valley"", ""marine"", ""floral"", ""rose"", ""fresh"", ""incense"", ""watery"", ""waxy""]"
CCC(=O)OCCC(C)CCC=C(C)C,"SubString{String}[""floral"", ""rose"", ""fruity"", ""green"", ""neroli"", ""citrus"", ""waxy"", ""sweet""]"
CCCC(=O)OCCC(C)CCCC(=C)C,"SubString{String}[""rose"", ""red"", ""berry"", ""floral"", ""fruity"", ""geranium"", ""tropical"", ""sweet""]"
CCCC(=O)OCCC(C)CCC=C(C)C,"SubString{String}[""sweet"", ""floral"", ""fruity"", ""bois"", ""de"", ""rose"", ""green"", ""geranium"", ""tropical"", ""citrus"", ""waxy"", ""apple"", ""leafy"", ""plum""]"
CC(=CCC/C(=C/C=O)/C)C,"SubString{String}[""lemon"", ""citrus"", ""fruity"", ""fresh""]"
CCOC(=O)C,"SubString{String}[""sweet"", ""rummy"", ""grape"", ""weedy"", ""fruity"", ""green"", ""ethereal"", ""winey"", ""sharp"", ""brandy""]"
CC(=CC(=O)C)C,"SubString{String}[""vegetable"", ""earthy"", ""musty"", ""nutty"", ""woody"", ""chemical"", ""pungent"", ""chocolate"", ""acrylate"", ""honey"", ""bread"", ""mint""]"
CC(CCCC(C)(C)O)CC(OC)OC,"SubString{String}[""lily"", ""of"", ""the"", ""valley"", ""floral"", ""rose"", ""muguet"", ""green"", ""waxy"", ""melon"", ""fresh""]"
CCOC(=O)CC(=O)C,"SubString{String}[""fatty"", ""fruity"", ""apple"", ""fresh"", ""green"", ""ethereal"", ""rum""]"
CCCC=CC(=O)CC,"SubString{String}[""fruity"", ""coconut"", ""ketonic"", ""fresh"", ""herbal""]"
CC(C)CC1=CN=CC=C1,"SubString{String}[""strong"", ""aromatic"", ""green"", ""earthy""]"
CSSC1=CC=CC=C1,"SubString{String}[""turnup"", ""pungent"", ""sulfurous"", ""radish"", ""vegetable"", ""onion""]"
CCCCCCC(=O)OCC=C,"SubString{String}[""sweet"", ""fermented"", ""ripe"", ""banana"", ""cognac"", ""fruity"", ""pineapple"", ""fusel"", ""waxy"", ""apple""]"
CC(=CCC/C(=C\CC[C@@](C)(C=C)O)/C)C,"SubString{String}[""floral"", ""mild"", ""green"", ""woody""]"
CCCCCCCCOC(=O)CC,"SubString{String}[""sweet"", ""mushroom"", ""floral"", ""fruity"", ""jammy"", ""raspberry"", ""green"", ""woody"", ""fatty"", ""waxy""]"
CCCCCC(=O)O,"SubString{String}[""sweaty"", ""cheesy"", ""fatty"", ""sour""]"
CCCCCCCCCCCCCCCCCC(=O)OCC(C)O,"SubString{String}[""bland"", ""odorless""]"
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,"SubString{String}[""fatty"", ""oily"", ""fishy""]"
C/C=C/C=C/C=O,"SubString{String}[""sweet"", ""aldehydic"", ""spicy"", ""floral"", ""fruity"", ""green"", ""citrus"", ""waxy""]"
CCCCCCCCCCCCCCCC(=O)OC(C)C,"SubString{String}[""bland"", ""odorless""]"
CCCCCCOC(=O)C,"SubString{String}[""sweet"", ""fatty"", ""banana"", ""fruity"", ""apple"", ""pear"", ""fresh"", ""green""]"
CCCCOCCCC,"SubString{String}[""ethereal"", ""fruity"", ""sweet""]"
CCSC(C)SCC,"SubString{String}[""burnt"", ""rubbery"", ""alliaceous"", ""meaty"", ""fruity"", ""tropical"", ""coffee"", ""sulfurous""]"
CC(=C)C1=CC(=NC=C1)C(=O)C,"SubString{String}[""sweet"", ""grassy"", ""amber"", ""green"", ""minty"", ""mint""]"
CC(=C)C1=NC=CC(=C1)C(=O)C,"SubString{String}[""fermented"", ""herbal"", ""roasted"", ""green""]"
CCCCCCCCCCCC(=O)O,"SubString{String}[""bay"", ""coconut"", ""fatty"", ""fresh"", ""waxy""]"
CCCCCCCCCO,"SubString{String}[""clean"", ""fatty"", ""floral"", ""rose"", ""dusty"", ""oily"", ""fresh"", ""orange"", ""wet""]"
CCCCCCCCCOC(=O)C,"SubString{String}[""sweet"", ""clean"", ""fruity"", ""green"", ""fruit"", ""tropical"", ""waxy"", ""leafy"", ""floral"", ""mushroom""]"
CCCCCCCC/C=C\CCCCCCCCO,"SubString{String}[""animal"", ""fatty""]"
CCCCCC=CC(=O)C,"SubString{String}[""spicy"", ""fatty"", ""berry"", ""weedy"", ""fruity"", ""oily"", ""licorice"", ""ketonic"", ""earthy"", ""sweet"", ""mushroom""]"
CCCCCC(=O)C1=CC=CO1,"SubString{String}[""sweet"", ""fruity"", ""apricot"", ""green"", ""peach"", ""ketonic""]"
C1=CC=C(C=C1)/C=C/C=O,"SubString{String}[""sweet"", ""spicy"", ""cinnamon"", ""warm"", ""candy""]"
CSCC1=CC=CO1,"SubString{String}[""vegetable"", ""sulfurous"", ""garlic"", ""horseradish"", ""alliaceous"", ""onion"", ""pungent"", ""radish""]"
C1=CN(C=C1)CC2=CC=CO2,"SubString{String}[""vegetable"", ""mushroom"", ""plastic"", ""potato"", ""fruity"", ""coffee"", ""bready"", ""cereal"", ""green"", ""radish"", ""waxy"", ""earthy"", ""alliaceous"", ""smoky"", ""pungent""]"
CCC(=O)OC(C)(CCC=C(C)C)C=C,"SubString{String}[""rummy"", ""floral"", ""rose"", ""fresh"", ""bergamot"", ""lily"", ""woody"", ""fruity"", ""sweet""]"
CC1C(=O)C=C(O1)C,"SubString{String}[""caramellic"", ""fruity"", ""estery"", ""roasted"", ""burnt"", ""coffee"", ""bread"", ""sweet"", ""buttery""]"
C=CCCCCCCCC(=O)O,"SubString{String}[""fatty"", ""fruity"", ""creamy"", ""green"", ""soapy"", ""cheesy"", ""waxy"", ""milky""]"
CC1=CCC(CC1)C(C)(C)OC(=O)C2=CC=CC=C2N,"SubString{String}[""floral"", ""fruity"", ""neroli"", ""lily"", ""orangeflower"", ""musty"", ""sweet""]"
CC1=CC(=C(C=C1)O)C(=O)C,"SubString{String}[""floral"", ""herbal"", ""sweet"", ""spicy"", ""cherry"", ""honey"", ""phenolic"", ""aromatic"", ""coumarinic""]"
CCCCC1=CC=CS1,"SubString{String}[""fried"", ""chicken"", ""floral"", ""fruity"", ""milky"", ""roasted""]"
CC1=CCC(CC1)C(C)(C)OC,"SubString{String}[""vegetable"", ""earthy"", ""spicy"", ""citrus"", ""celery"", ""bergamot"", ""orangeflower"", ""grapefruit"", ""woody"", ""floral""]"
CCCC(=O)OC1=CC=C(C=C1)C,"SubString{String}[""narcissus"", ""animal"", ""phenolic"", ""fruity"", ""medicinal"", ""aromatic"", ""floral""]"
CCCCCCCCCCCC(OC)OC,"SubString{String}[""herbal"", ""orchid"", ""fresh"", ""green"", ""waxy"", ""apple"", ""citrus"", ""fatty"", ""melon""]"
CC1=CN=C(C(=N1)C)C,"SubString{String}[""musty"", ""cocoa"", ""potato"", ""nutty"", ""baked"", ""powdery"", ""hazelnut"", ""earthy"", ""peanut"", ""roasted"", ""nut"", ""skin"", ""burnt"", ""coffee""]"
CCC/C=C/CCCCC=O,"SubString{String}[""cucumber"", ""green"", ""fatty""]"
CCC(C)C1CCCCC1=O,"SubString{String}[""spearmint"", ""mentholic"", ""camphoreous"", ""cooling"", ""fresh"", ""peppermint"", ""minty"", ""woody"", ""mint""]"
